# dETL = 58.7 nm,dETL = 61.6 nm,dETL = 60.2 nm,dETL = 56.9 nm,dETL = 63 nm,dETL = 70.3 nm
8.327291238043066368e+19,7.867312287664377037e+19,8.035156836191348326e+19,8.564119753496690688e+19,7.486526127821114573e+19,5.683089937746237030e+19
8.359206799220185498e+19,7.902886168904436941e+19,8.069565975659698586e+19,8.593376065644152422e+19,7.524219863243892326e+19,5.724881171945107456e+19
8.391063708102388941e+19,7.938427178747540275e+19,8.103933111440698573e+19,8.622559197874092442e+19,7.561900600838396314e+19,5.766743925921291469e+19
8.422861050890960896e+19,7.973934297753639322e+19,8.138257257755883930e+19,8.651668313054365286e+19,7.599567259803602125e+19,5.808676998904696832e+19
8.454597915495227392e+19,8.009406507454726144e+19,8.172537430059648614e+19,8.680702576175117107e+19,7.637218759742573773e+19,5.850679188109976371e+19
8.486273391558682214e+19,8.044842790383997747e+19,8.206772645067456512e+19,8.709661154372683366e+19,7.674854020693452390e+19,5.892749288771006464e+19
8.517886570485101363e+19,8.080242130105070387e+19,8.240961920784030106e+19,8.738543216953511117e+19,7.712471963160403968e+19,5.934886094175435162e+19
8.549436545464591974e+19,8.115603511241084109e+19,8.275104276531519488e+19,8.767347935417953485e+19,7.750071508144565453e+19,5.977088395699267174e+19
8.580922411499572429e+19,8.150925919503818752e+19,8.309198732977591091e+19,8.796074483484011725e+19,7.787651577174971187e+19,6.019354982841513574e+19
8.612343265430722970e+19,8.186208341722773914e+19,8.343244312163514778e+19,8.824722037111037952e+19,7.825211092339500646e+19,6.061684643258893926e+19
8.643698205962883891e+19,8.221449765874212864e+19,8.377240037532200141e+19,8.853289774523352678e+19,7.862748976315731149e+19,6.104076162800583475e+19
8.674986333690888192e+19,8.256649181110173696e+19,8.411184933956180378e+19,8.881776876233786982e+19,7.900264152401854464e+19,6.146528325543029965e+19
8.706206751125323776e+19,8.291805577787434598e+19,8.445078027765579776e+19,8.910182525067203379e+19,7.937755544547536077e+19,6.189039913824804864e+19
8.737358562718316954e+19,8.326917947496495514e+19,8.478918346776028774e+19,8.938505906183911834e+19,7.975222077384761344e+19,6.231609708281515213e+19
8.768440874889134080e+19,8.361985283090440192e+19,8.512704920316508570e+19,8.966746207103005491e+19,8.012662676258648883e+19,6.274236487880746598e+19
8.799452796049856922e+19,8.397006578713826099e+19,8.546436779257202278e+19,8.994902617725676749e+19,8.050076267258291814e+19,6.316919029957081498e+19
8.830393436630913843e+19,8.431980829831530086e+19,8.580112956037269094e+19,9.022974330358444851e+19,8.087461777247505613e+19,6.359656110247140557e+19
8.861261909106579866e+19,8.466907033257544909e+19,8.613732484692585677e+19,9.050960539736288461e+19,8.124818133895615283e+19,6.402446502924681216e+19
8.892057328020430848e+19,8.501784187183708570e+19,8.647294400883425280e+19,9.078860443045748736e+19,8.162144265708190106e+19,6.445288980635738931e+19
8.922778810010714112e+19,8.536611291208461517e+19,8.680797741922113946e+19,9.106673239947935744e+19,8.199439102057758720e+19,6.488182314533813453e+19
8.953425473835689574e+19,8.571387346365497344e+19,8.714241546800619520e+19,9.134398132601459507e+19,8.236701573214501274e+19,6.531125274315083776e+19
8.983996440398875853e+19,8.606111355152415130e+19,8.747624856218112819e+19,9.162034325685331558e+19,8.273930610376913715e+19,6.574116628253697638e+19
9.014490832774252134e+19,8.640782321559309517e+19,8.780946712608455066e+19,9.189581026421738701e+19,8.311125145702450790e+19,6.617155143237070848e+19
9.044907776231417446e+19,8.675399251097324749e+19,8.814206160167652557e+19,9.217037444598779085e+19,8.348284112338131354e+19,6.660239584801231667e+19
9.075246398260635238e+19,8.709961150827167744e+19,8.847402244881272013e+19,9.244402792593119642e+19,8.385406444451142042e+19,6.703368717166220902e+19
9.105505828597869773e+19,8.744467029387555635e+19,8.880534014551749427e+19,9.271676285392558490e+19,8.422491077259359027e+19,6.746541303271508378e+19
9.135685199249725850e+19,8.778915897023656755e+19,8.913600518825739878e+19,9.298857140618552934e+19,8.459536947061899264e+19,6.789756104811456922e+19
9.165783644518329549e+19,8.813306765615454618e+19,8.946600809221319885e+19,9.325944578548632781e+19,8.496542991269599642e+19,6.833011882270827315e+19
9.195800301026151629e+19,8.847638648706075853e+19,8.979533939155196314e+19,9.352937822138736640e+19,8.533508148435483034e+19,6.876307394960310272e+19
9.225734307740749005e+19,8.881910561530057523e+19,9.012398963969826816e+19,9.379836097045533491e+19,8.570431358285183386e+19,6.919641401052083814e+19
9.255584805999452160e+19,8.916121521041604608e+19,9.045194940960533709e+19,9.406638631648577126e+19,8.607311561747351142e+19,6.963012657615424717e+19
9.285350939533991936e+19,8.950270545942734438e+19,9.077920929402486784e+19,9.433344657072450765e+19,8.644147700984007885e+19,7.006419920652328141e+19
9.315031854495016550e+19,8.984356656711445709e+19,9.110575990577695949e+19,9.459953407208782234e+19,8.680938719420851814e+19,7.049861945133192806e+19
9.344626699476608614e+19,9.018378875629771162e+19,9.143159187801921946e+19,9.486464118738250957e+19,8.717683561777579622e+19,7.093337485032472576e+19
9.374134625540651418e+19,9.052336226811808973e+19,9.175669586451506790e+19,9.512876031152417997e+19,8.754381174098121523e+19,7.136845293364437811e+19
9.403554786241200128e+19,9.086227736231719731e+19,9.208106253990202573e+19,9.539188386775564288e+19,8.791030503780853350e+19,7.180384122218885939e+19
9.432886337648726835e+19,9.120052431751612006e+19,9.240468259995870822e+19,9.565400430786397798e+19,8.827630499608770970e+19,7.223952722796947046e+19
9.462128438374319718e+19,9.153809343149455770e+19,9.272754676187172045e+19,9.591511411239696794e+19,8.864180111779646669e+19,7.267549845446871450e+19
