# Relative position in EML,Generation CBP:Irppy,kr CBP:Irppy (s^-1),tau CBP:Irppy (s),eta_out CBP:Irppy,Generation TPBi:Irppy,kr TPBi:Irppy (s^-1),tau TPBi:Irppy (s),eta_out TPBi:Irppy
0.000000000000000000e+00,7.898147462405850726e+19,1.069457712100029457e+06,8.841762892821577972e-07,2.480882895993638537e-01,8.035156836191348326e+19,1.049613210886543151e+06,8.999671465350679614e-07,2.344183975542506460e-01
1.000000000000000021e-02,7.916549529592641946e+19,1.069029628514775075e+06,8.845110779244722063e-07,2.480731760096340777e-01,8.069565975659698586e+19,1.049281774652041728e+06,9.002356703812354304e-07,2.345353815763285832e-01
2.000000000000000042e-02,7.934858456425909453e+19,1.068613812489189906e+06,8.848365153805221252e-07,2.480536425732412786e-01,8.103933111440698573e+19,1.048962169652039651e+06,9.004947605729498614e-07,2.346482512724283598e-01
2.999999999999999889e-02,7.953073712315228160e+19,1.068209983101801248e+06,8.851528008241006957e-07,2.480297488345612200e-01,8.138257257755883930e+19,1.048654109846915351e+06,9.007446327551347679e-07,2.347570613206935164e-01
4.000000000000000083e-02,7.971194769383052083e+19,1.067817866616464918e+06,8.854601289866937813e-07,2.480015531548573626e-01,8.172537430059648614e+19,1.048357316368506174e+06,9.009854978327709709e-07,2.348618653314895333e-01
5.000000000000000278e-02,7.989221102479992422e+19,1.067437196289462503e+06,8.857586902484108590e-07,2.479691127348024604e-01,8.206772645067456512e+19,1.048071517327006324e+06,9.012175620684848535e-07,2.349627158664386595e-01
5.999999999999999778e-02,8.007152189200033382e+19,1.067067712182214949e+06,8.860486707274509692e-07,2.479324836367136908e-01,8.240961920784030106e+19,1.047796447623484419e+06,9.014410271785789211e-07,2.350596644572700011e-01
7.000000000000000666e-02,8.024987509895651328e+19,1.066709160979451844e+06,8.863302523680902744e-07,2.478917208064990441e-01,8.275104276531519488e+19,1.047531848767852876e+06,9.016560904274949274e-07,2.351527616244750152e-01
8.000000000000000167e-02,8.042726547692884787e+19,1.066361295812660595e+06,8.866036130271937695e-07,2.478468780953081707e-01,8.309198732977591091e+19,1.047277468702111277e+06,9.018629447207132720e-07,2.352420568957636349e-01
8.999999999999999667e-02,8.060368788506266829e+19,1.066023876088659279e+06,8.868689265592471192e-07,2.477980082808853568e-01,8.343244312163514778e+19,1.047033061628715368e+06,9.020617786960743746e-07,2.353275988243113681e-01
1.000000000000000056e-01,8.077913721053739418e+19,1.065696667323131813e+06,8.871263628999129646e-07,2.477451630886200740e-01,8.377240037532200141e+19,1.046798387843904900e+06,9.022527768135306046e-07,2.354094350067951757e-01
1.100000000000000006e-01,8.095360836871462912e+19,1.065379440978981555e+06,8.873760881481084153e-07,2.476883932122931620e-01,8.411184933956180378e+19,1.046573213575846399e+06,9.024361194433262217e-07,2.354876121012098589e-01
1.199999999999999956e-01,8.112709630328522342e+19,1.065071974309350131e+06,8.876182646466139992e-07,2.476277483345162567e-01,8.445078027765579776e+19,1.046357310827437090e+06,9.026119829526125307e-07,2.355621758444621239e-01
1.300000000000000044e-01,8.129959598641579622e+19,1.064774050205161329e+06,8.878530510612185147e-07,2.475632771468621596e-01,8.478918346776028774e+19,1.046150457223637146e+06,9.027805397904976119e-07,2.356331710697378012e-01
1.400000000000000133e-01,8.147110241889424179e+19,1.064485457047055243e+06,8.880806024584052930e-07,2.474950273696862602e-01,8.512704920316508570e+19,1.045952435863183928e+06,9.029419585715453474e-07,2.357006417236387208e-01
1.499999999999999944e-01,8.164161063027471155e+19,1.064205988561576698e+06,8.883010703815914103e-07,2.474230457716362908e-01,8.546436779257202278e+19,1.045763035174560850e+06,9.030964041577274465e-07,2.357646308830861070e-01
1.600000000000000033e-01,8.181111567902141645e+19,1.063935443681490840e+06,8.885146029259284261e-07,2.473473781888521905e-01,8.580112956037269094e+19,1.045582048776088748e+06,9.032440377388405421e-07,2.358251807719883575e-01
1.700000000000000122e-01,8.197961265265157734e+19,1.063673626410099212e+06,8.887213448116771417e-07,2.472680695438543574e-01,8.613732484692585677e+19,1.045409275340019376e+06,9.033850169113978867e-07,2.358823327776707890e-01
1.799999999999999933e-01,8.214709666787803136e+19,1.063420345689440612e+06,8.889214374561653783e-07,2.471851638641215376e-01,8.647294400883425280e+19,1.045244518460504944e+06,9.035194957560097292e-07,2.359361274670654096e-01
1.900000000000000022e-01,8.231356287075041280e+19,1.063175415272250073e+06,8.891150190443495273e-07,2.470987043003589345e-01,8.680797741922113946e+19,1.045087586525330553e+06,9.036476249132665617e-07,2.359866046026605768e-01
2.000000000000000111e-01,8.247900643679564595e+19,1.062938653597576311e+06,8.893022245979824140e-07,2.470087331444574263e-01,8.714241546800619520e+19,1.044938292591293342e+06,9.037695516581377292e-07,2.360338031582074059e-01
2.099999999999999922e-01,8.264342257115794637e+19,1.062709883669934934e+06,8.894831860434136261e-07,2.469152918471449187e-01,8.747624856218112819e+19,1.044796454263123334e+06,9.038854199729014955e-07,2.360777613341850933e-01
2.200000000000000011e-01,8.280680650873738035e+19,1.062488932941896142e+06,8.896580322780335307e-07,2.468184210353325247e-01,8.780946712608455066e+19,1.044661893575832481e+06,9.039953706186242478e-07,2.361185165730224911e-01
2.300000000000000100e-01,8.296915351432811315e+19,1.062275633200010750e+06,8.898268892353716746e-07,2.467181605291556556e-01,8.814206160167652557e+19,1.044534436880397610e+06,9.040995412052033452e-07,2.361561055740775128e-01
2.399999999999999911e-01,8.313045888275523174e+19,1.062069820453962311e+06,8.899898799488759290e-07,2.466145493587141579e-01,8.847402244881272013e+19,1.044413914732667268e+06,9.041980662599941517e-07,2.361905643083733186e-01
2.500000000000000000e-01,8.329071793901135462e+19,1.061871334828858264e+06,8.901471246143837114e-07,2.465076257805113302e-01,8.880534014551749427e+19,1.044300161785409204e+06,9.042910772950335354e-07,2.362219280330936089e-01
2.600000000000000089e-01,8.344992603839170150e+19,1.061680020460562315e+06,8.902987406513037040e-07,2.463974272935964827e-01,8.913600518825739878e+19,1.044193016683388851e+06,9.043787028728896924e-07,2.362502313058356673e-01
2.700000000000000178e-01,8.360807856662880256e+19,1.061495725393980276e+06,8.904448427625266006e-07,2.462839906554128433e-01,8.946600809221319885e+19,1.044092321961404406e+06,9.044610686711413646e-07,2.362755079986237627e-01
2.800000000000000266e-01,8.376517094002601165e+19,1.061318301484207623e+06,8.905855429930836201e-07,2.461673518973525321e-01,8.979533939155196314e+19,1.043997923945178394e+06,9.045382975455206526e-07,2.362977913116837136e-01
2.899999999999999800e-01,8.392119860559038054e+19,1.061147604300460080e+06,8.907209507875694109e-07,2.460475463400239593e-01,9.012398963969826816e+19,1.043909672655024682e+06,9.046105095917330797e-07,2.363171137869793104e-01
2.999999999999999889e-01,8.407615704116427162e+19,1.060983493032695260e+06,8.908511730463530639e-07,2.459246086082317595e-01,9.045194940960533709e+19,1.043827421712215641e+06,9.046778222059690966e-07,2.363335073215132309e-01
3.099999999999999978e-01,8.423004175555665920e+19,1.060825830400856910e+06,8.909763141805885604e-07,2.457985726456752562e-01,9.077920929402486784e+19,1.043751028247952578e+06,9.047403501441417534e-07,2.363470031803935334e-01
3.200000000000000067e-01,8.438284828867272704e+19,1.060674482566655148e+06,8.910964761660518694e-07,2.456694717293667340e-01,9.110575990577695949e+19,1.043680352814882994e+06,9.047982055798541413e-07,2.363576320096676397e-01
3.300000000000000155e-01,8.453457221164353126e+19,1.060529319047813537e+06,8.912117585958173967e-07,2.455373384837738759e-01,9.143159187801921946e+19,1.043615259301073034e+06,9.048514981611300589e-07,2.363654238489260595e-01
3.400000000000000244e-01,8.468520912695389389e+19,1.060390212634707335e+06,8.913222587317977165e-07,2.454022048946896128e-01,9.175669586451506790e+19,1.043555614846370067e+06,9.049003350659221994e-07,2.363704081436773241e-01
3.500000000000000333e-01,8.483475466856991949e+19,1.060257039309322368e+06,8.914280715551645837e-07,2.452641023228329387e-01,9.208106253990202573e+19,1.043501289761085995e+06,9.049448210564200908e-07,2.363726137574980457e-01
3.599999999999999867e-01,8.498320450206536499e+19,1.060129678166473052e+06,8.915292898156663692e-07,2.451230615171840765e-01,9.240468259995870822e+19,1.043452157446925528e+06,9.049850585321797088e-07,2.363720689839579059e-01
3.699999999999999956e-01,8.513055432474720666e+19,1.060008011337198550e+06,8.916260040798726203e-07,2.449791126280588260e-01,9.272754676187172045e+19,1.043408094320106669e+06,9.050211475820905360e-07,2.363688015583244317e-01
3.800000000000000044e-01,8.527679986578017485e+19,1.059891923914293293e+06,8.917183027783488207e-07,2.448322852199234234e-01,9.304964576450176614e+19,1.043368979736592504e+06,9.050531860352105618e-07,2.363628386690490857e-01
3.900000000000000133e-01,8.542193688631050240e+19,1.059781303879892221e+06,8.918062722517956504e-07,2.446826082839561878e-01,9.337097036864900301e+19,1.043334695919388440e+06,9.050812695104770579e-07,2.363542069690361680e-01
4.000000000000000222e-01,8.556596117958867354e+19,1.059676042035058374e+06,8.918899967961647143e-07,2.445301102503588397e-01,9.369151135731808666e+19,1.043305127887831768e+06,9.051054914653259521e-07,2.363429325866995556e-01
4.100000000000000311e-01,8.570886857109112422e+19,1.059576031931316946e+06,8.919695587067679942e-07,2.443748190004202958e-01,9.401125953598223155e+19,1.043280163388823974e+06,9.051259432432320816e-07,2.363290411368083876e-01
4.199999999999999845e-01,8.585065491864133632e+19,1.059481169804073637e+06,8.920450383214058019e-07,2.442167618783388228e-01,9.433020573284707533e+19,1.043259692829945241e+06,9.051427141201934084e-07,2.363125577311244174e-01
4.299999999999999933e-01,8.599131611252970291e+19,1.059391354507864919e+06,8.921165140625284794e-07,2.440559657028039398e-01,9.464834079911305216e+19,1.043243609214395634e+06,9.051558913501798422e-07,2.362935069888344730e-01
4.400000000000000022e-01,8.613084807563232870e+19,1.059306487453389913e+06,8.921840624784489990e-07,2.438924567783446462e-01,9.496565560923833958e+19,1.043231808077714057e+06,9.051655602095672131e-07,2.362719130467812179e-01
4.500000000000000111e-01,8.626924676352960102e+19,1.059226472546266159e+06,8.922477582836312380e-07,2.437262609064453633e-01,9.528214106119993754e+19,1.043224187426220509e+06,9.051718040405697325e-07,2.362477995694936550e-01
4.600000000000000200e-01,8.640650816462274560e+19,1.059151216127467575e+06,8.923076743980630349e-07,2.435574033964351404e-01,9.559778807675484570e+19,1.043220647677126690e+06,9.051747042937075782e-07,2.362211897590219822e-01
4.700000000000000289e-01,8.654262830025043149e+19,1.059080626915389439e+06,8.923638819857401786e-07,2.433859090761532895e-01,9.591258760170029056e+19,1.043221091600280488e+06,9.051743405693042032e-07,2.361921063645785468e-01
4.799999999999999822e-01,8.667760322480360653e+19,1.059014615949494066e+06,8.924164504922781648e-07,2.432118023023950304e-01,9.622653060613314970e+19,1.043225424261481268e+06,9.051707906580556139e-07,2.361605716919886189e-01
4.899999999999999911e-01,8.681142902584018534e+19,1.058953096535498975e+06,8.924654476816618857e-07,2.430351069711421397e-01,9.653960808470904832e+19,1.043233552967333235e+06,9.051641305806762768e-07,2.361266076129533709e-01
5.000000000000000000e-01,8.694410182419803341e+19,1.058895984192053787e+06,8.925109396721618382e-07,2.428558465275805212e-01,9.685181105690022707e+19,1.043245387211584253e+06,9.051544346266481226e-07,2.360902355741280045e-01
5.100000000000000089e-01,8.707561777410741043e+19,1.058843196598870214e+06,8.925529909714250050e-07,2.426740439759106638e-01,9.716313056725324595e+19,1.043260838622909854e+06,9.051417753920878958e-07,2.360514766060191894e-01
5.200000000000000178e-01,8.720597306330233242e+19,1.058794653546259506e+06,8.925916645107635954e-07,2.424897218889529582e-01,9.747355768564557414e+19,1.043279820914108306e+06,9.051262238167482004e-07,2.360103513317032553e-01
5.300000000000000266e-01,8.733516391313104896e+19,1.058750276886040345e+06,8.926270216786542453e-07,2.423029024175525903e-01,9.778308350754150810e+19,1.043302249832650530e+06,9.051078492201791362e-07,2.359668799753683599e-01
5.400000000000000355e-01,8.746318657866520986e+19,1.058709990483776899e+06,8.926591223534657823e-07,2.421136072997876476e-01,9.809169915424776192e+19,1.043328043112562504e+06,9.050867193370601614e-07,2.359210823706851812e-01
5.500000000000000444e-01,8.759003734880863846e+19,1.058673720172307454e+06,8.926880249354341897e-07,2.419218578699836031e-01,9.839939577316764877e+19,1.043357120427591726e+06,9.050629003517220840e-07,2.358729779690067474e-01
5.600000000000000533e-01,8.771571254640467968e+19,1.058641393706530565e+06,8.927137863778956765e-07,2.417276750675380892e-01,9.870616453805490176e+19,1.043389403345624683e+06,9.050364569318796205e-07,2.358225858474022330e-01
5.700000000000000622e-01,8.784020852834251571e+19,1.058612940719412174e+06,8.927364622177982858e-07,2.415310794455599319e-01,9.901199664926690509e+19,1.043424815284321550e+06,9.050074522615855295e-07,2.357699247165267742e-01
5.799999999999999600e-01,8.796352168566295757e+19,1.058588292679175967e+06,8.927561066055054905e-07,2.413320911793260526e-01,9.931688333401686016e+19,1.043463281467929250e+06,9.049759480734289818e-07,2.357150129283298867e-01
5.899999999999999689e-01,8.808564844366281114e+19,1.058567382847649977e+06,8.927727723339064924e-07,2.411307300745580973e-01,9.962081584662518170e+19,1.043504728885242017e+06,9.049420046799916104e-07,2.356578684836067583e-01
5.999999999999999778e-01,8.820658526199829299e+19,1.058550146239729133e+06,8.927865108668513296e-07,2.409270155755250109e-01,9.992378546877023846e+19,1.043549086248677573e+06,9.049056810045776548e-07,2.355985090393936665e-01
6.099999999999999867e-01,8.832632863478775808e+19,1.058536519583930727e+06,8.927973723669206405e-07,2.407209667729728886e-01,1.002257835097383404e+20,1.043596283954437240e+06,9.048670346112338670e-07,2.355369519162114622e-01
6.199999999999999956e-01,8.844487509071308390e+19,1.058526441284006462e+06,8.928054057225481875e-07,2.405126024118864614e-01,1.005268013066729882e+20,1.043646254043714842e+06,9.048261217340773922e-07,2.354732141051593119e-01
6.300000000000000044e-01,8.856222119312030106e+19,1.058519851381581975e+06,8.928106585745112834e-07,2.403019408990846040e-01,1.008268302248228291e+20,1.043698930164936581e+06,9.047829973059403052e-07,2.354073122748623070e-01
6.400000000000000133e-01,8.867836354011902771e+19,1.058516691519798245e+06,8.928131773417990717e-07,2.400890003106551929e-01,1.011258616577896448e+20,1.043754247536983690e+06,9.047377149863582266e-07,2.353392627782739388e-01
6.500000000000000222e-01,8.879329876468098662e+19,1.058516904907926451e+06,8.928130072468748607e-07,2.398737983992301204e-01,1.014238870277747999e+20,1.043812142913393327e+06,9.046903271889029105e-07,2.352690816593393242e-01
6.600000000000000311e-01,8.890702353473757184e+19,1.058520436286926037e+06,8.928101923403458524e-07,2.396563526011049883e-01,1.017208977858251489e+20,1.043872554547490203e+06,9.046408851078833708e-07,2.351967846595179323e-01
